Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow (lpm),,,,
Mon Jan 30 2023,361118,20000.96,0.6045843,0.6039505,0.4171614,0.4368285,0.4292762,78.4,24.7,20,9.621398,800,103.1779,6.170669,4.196316406,-19.3815504,-66.680334,-44.3687836,4.467842681,,,,
Mon Jan 30 2023,367258,20003.06,0.6009244,0.6001002,0.4178799,0.4357432,0.429333,85.3,24.7,20,9.621398,800,103.1779,6.264897,4.205334961,-18.901512,-68.555484,-46.723972,4.477695795,,,,
Mon Jan 30 2023,373399,20001.27,0.6026636,0.6021732,0.4157926,0.4327834,0.4279654,78.7,24.7,20,9.621398,800,103.1779,6.344422,4.213675781,-19.2465396,-68.330466,-46.1539264,4.486808458,,,,
Mon Jan 30 2023,379540,20001.25,0.6021354,0.6026583,0.4187171,0.4369252,0.4299823,79.4,24.7,20,9.621398,800,103.1779,6.342533,4.259272461,-19.3365468,-67.88043,-45.6138832,4.536624561,,,,
Mon Jan 30 2023,385680,19998.9,0.6021848,0.6024955,0.4148256,0.4353653,0.4274491,84.8,24.7,20,9.621398,800,103.1779,6.398032,4.241314941,-19.2465396,-68.63049,-46.4539504,4.517005289,,,,
Mon Jan 30 2023,391821,19995.37,0.6049855,0.6052469,0.4172426,0.4359945,0.4305015,78.4,24.7,20,9.621398,800,103.1779,6.314279,4.216754883,-19.8090846,-66.980358,-44.2412734,4.490172493,,,,
Mon Jan 30 2023,397947,19997.8,0.6046717,0.6042022,0.4175186,0.4359116,0.4297671,81.6,24.7,20,9.621398,800,103.1779,6.31005,4.221421875,-19.1865348,-65.705256,-43.5887212,4.495271359,,,,
Mon Jan 30 2023,404086,20002.38,0.603459,0.603263,0.4189051,0.4372086,0.4295076,80.3,24.7,20,9.621398,800,103.1779,6.336802,4.211696777,-19.464057,-67.580406,-45.186349,4.484646321,,,,
Mon Jan 30 2023,410226,20000.91,0.6019087,0.602276,0.4148327,0.4345032,0.4284362,78.1,24.7,20,9.621398,800,103.1779,6.200672,4.202814453,-19.5615648,-66.980358,-44.4887932,4.474942044,,,,
Mon Jan 30 2023,416367,19998.28,0.6025699,0.6031333,0.4151448,0.4319615,0.4275026,81,24.8,20,9.621398,800,103.1779,6.468005,4.217509766,-19.5840666,-65.330226,-42.8161594,4.490997231,,,,
Mon Jan 30 2023,422508,20000.66,0.6037483,0.6037974,0.4166824,0.4346102,0.428445,82.1,24.7,20,9.621398,800,103.1779,6.300684,4.223005371,-18.638991,-67.655412,-46.086421,4.497001389,,,,
Mon Jan 30 2023,428648,19999.88,0.6021758,0.6018832,0.4157231,0.4349944,0.4277527,80.6,24.7,20,9.621398,800,103.1779,6.345726,4.207379395,-19.8315864,-67.205376,-44.4437896,4.479929416,,,,
Mon Jan 30 2023,434789,19999.33,0.601043,0.6010768,0.4180609,0.436014,0.4300621,80.5,24.8,20,9.621398,800,103.1779,6.292473,4.284445801,-19.7490798,-67.580406,-44.9013262,4.564127391,,,,
Mon Jan 30 2023,440930,20000.97,0.6024553,0.6025671,0.4143979,0.4337439,0.4286612,78.1,24.8,20,9.621398,800,103.1779,6.100972,4.215431152,-18.7214976,-62.179974,-40.5284764,4.488726267,,,,
Mon Jan 30 2023,458241,24999.3,0.8761651,0.8767008,0.6049597,0.6346444,0.6274269,121.3,24.8,20,9.621398,800,103.1779,11.29938,0,3.0977478,104.25834,104.0905922,0,,,,
Mon Jan 30 2023,464382,25002.06,0.8770496,0.8764657,0.608852,0.6277141,0.6282917,140.5,24.8,20,9.621398,800,103.1779,11.43624,0,3.1802544,104.408352,104.1580976,0,,,,
Mon Jan 30 2023,470523,25000.89,0.8761188,0.8764682,0.6081138,0.6289722,0.6225666,147.2,24.8,20,9.621398,800,103.1779,11.66625,0,3.1202496,105.0084,104.8181504,0,,,,
Mon Jan 30 2023,476663,25000.68,0.8770868,0.8773575,0.6059102,0.6294137,0.6277137,155.5,24.8,20,9.621398,800,103.1779,11.28275,0,3.1427514,104.558364,104.3456126,0,,,,
Mon Jan 30 2023,482804,24999.75,0.8759702,0.87592,0.6046443,0.6276608,0.6251848,156.7,24.8,20,9.621398,800,103.1779,11.33129,0.079500397,3.1277502,103.50828,103.3105298,0.059691497,,,,
Mon Jan 30 2023,488932,24999.52,0.8692894,0.8692169,0.6006674,0.6264203,0.6196662,158.8,24.9,20,9.621398,800,103.1779,11.49078,0.309601227,2.9927394,99.682974,99.6202346,0.289792327,,,,
